Company,Disc,Speed,Glide,Turn,Fade,Max Weight,Diameter,Height,Rim Depth,Inside Diameter,Rim Thickness,Rim Depth/Diameter Ratio,Rim Config,Flexibility
Latitude 64,Vision,8,6,-2,2,175.1,21.1,1.9,1.1,17.4,1.8,5.2,33,12.25
Latitude 64,XXX,7,3,0,4,178.5,21.5,1.5,1.1,17.5,2,5.1,32.5,12.02
Latitude 64,Zion,9,4,-0.5,3,176,21.2,1.7,1.1,17.2,2,5.2,28,9.75
Legacy Discs,Aftermath,13,4,-2,3,176,21.2,1.7,1.1,16.3,2.5,5.2,29,9.19
Legacy Discs,Bandit,9,5,-2,1,176.8,21.3,1.5,1.1,17.3,2,5.2,30.75,7.6
Legacy Discs,Cannon,14,5,-2.5,3,175.1,21.1,1.8,1.2,16.1,2.5,5.7,26,10.43
Legacy Discs,Clozer,2,3,0,2,176,21.2,2.1,1.4,19.4,0.9,6.6,58.25,8.73
Legacy Discs,Clutch,2,3,0,1,176,21.2,2,1.4,19.4,0.9,6.6,49.5,6.92
Legacy Discs,Enemy,9,3,0,4,175.1,21.1,1.9,1.2,17.2,1.9,5.7,32.5,9.19
Legacy Discs,Fighter,10,3,0,4,176,21.2,1.7,1.2,17.1,2,5.7,27.75,11.34
Legacy Discs,Gauge,5,5,0,1,180.9,21.8,2.2,1.4,19.4,1.2,6.4,48.25,7.03
Legacy Discs,Ghost,4,5,0,3,180.1,21.7,2,1.3,19.3,1.2,6,42.75,5.44
Legacy Discs,Hunter,3,4,0,0,176,21.2,1.4,1.4,19.4,0.9,6.6,54.75,5.9
Legacy Discs,Mongoose,9,5,-3,1,176.8,21.3,1.5,1.1,17.3,2,5.2,30.5,7.82
Legacy Discs,Nemesis,10,6,-4,2,176.8,21.3,1.5,1.1,17.3,2,5.2,29,7.82
Legacy Discs,Outlaw,12,5,-1,3,174.3,21,1.6,1.1,16.4,2.3,5.2,29,12.13
Legacy Discs,Outlaw ,12,5,-1,3,175.1,21.1,1.6,1.1,16.4,2.3,5.2,29,10.43
Legacy Discs,Patriot,7,5,-2,1,176,21.2,1.8,1.1,17.6,1.8,5.2,28.25,12.02
Legacy Discs,Phenom,8,5,-1,2,176,21.2,1.7,1.2,17.7,1.8,5.7,33.25,8.16
Legacy Discs,Prowler,2,3,0,1.5,176,21.2,2.2,1.4,19.4,0.9,6.6,61.5,6.01
Legacy Discs,Pursuit,5,3,0,3,176.8,21.3,1.6,1.3,18.3,1.5,6.1,44,9.19
Legacy Discs,Rampage,14,5,-1,4,175.1,21.1,1.8,1.2,16.1,2.5,5.7,26,10.55
Legacy Discs,Recluse,4,3,0,4,176.8,21.3,1.6,1.3,18.3,1.5,6.1,44,9.07
Legacy Discs,Recon,13,5,-1,3,176,21.2,1.7,1.1,16.4,2.4,5.2,28.75,8.05
Legacy Discs,Rival,7,5,0,2,176.8,21.3,2,1.2,17.8,1.8,5.6,29.25,11.11
Lightning Discs,#1 Flyer,8,5,-2,2,177.6,21.4,1.5,1.1,18.2,1.6,5.1,27.75,9.75
Lightning Discs,#1 Helix,8,4,-1,3,178.5,21.5,1.6,1.3,18.3,1.6,6,31.25,10.87
Lightning Discs,#1 Hyzer,7,3,0,4,180.1,21.7,1.8,1.3,18.1,1.8,6,29.25,10.66
Lightning Discs,#1 Roller,7,3,-2,1,180.1,21.7,1.7,1.1,18.1,1.8,5.1,30.75,8.62
Lightning Discs,#2 Driver,8,5,-2,2,177.6,21.4,2,1.2,18.2,1.6,5.6,29,12.02
Lightning Discs,#2 Helix,8,5,-1,3,176,21.2,1.7,1.4,17.8,1.7,6.6,34,7.48
Lightning Discs,#2 Hookshot,5,5,-1,3,178.5,21.5,2.1,1.1,18.9,1.3,5.1,40,6.4
Lightning Discs,#2 Hyzer,5,5,1,4,175.1,21.1,2,1.2,17.9,1.6,5.7,29,11.57
Lightning Discs,#2 Putter,1,2,-2,1,180.9,21.8,2.6,1.6,19.8,1,7.3,53.75,4.2
Lightning Discs,#2 Slice,6,5,-3,1,179.3,21.6,2,1.1,19,1.3,5.1,27.25,6.69
Lightning Discs,#2 Upshot,2,3,-1,1,177.6,21.4,2,1.5,19.6,0.9,7,51.25,6.01
Lightning Discs,#4 Driver,7,4,-1,2,176,21.2,1.7,1.1,17.9,1.7,5.2,26.75,8.05
Millennium Golf Discs,Aquarius,10,5,-4,2,174.3,21,1.9,1.2,17,2,5.7,30,10.66
Millennium Golf Discs,Aries,11,6,-3,1,175.1,21.1,1.6,1.1,16.9,2.1,5.2,28,10.89
Millennium Golf Discs,Astra,11,5,-2,2,175.1,21.1,1.5,1.2,16.7,2.2,5.7,28.25,8.28
Millennium Golf Discs,Aurora MF,4,5,-1,1,180.1,21.7,2.1,1.4,19.4,1.2,6.5,38.75,8.16
Millennium Golf Discs,EXP,7,3,0,4,175.1,21.1,1.6,1.2,17.5,1.8,5.7,28.25,9.87
Millennium Golf Discs,JLS,8,5,-2,2,174.3,21,1.5,1.1,17.8,1.6,5.2,30.75,8.73
Millennium Golf Discs,Marksman,9,4,-1,2,175.1,21.1,1.6,1.2,17.2,1.9,5.7,29,11.23
Millennium Golf Discs,Moab,6,4,1,5,175.1,21.1,1.7,1.2,18.4,1.8,5.7,38.25,7.94
Millennium Golf Discs,Mortar,5,4,0,3,176,21.2,1.9,1.4,18.4,1.4,6.6,56.75,5.78
Millennium Golf Discs,Omega,2,3,-1,1,175.1,21.1,2,1.5,19.3,0.9,7.1,55.75,1.36
Millennium Golf Discs,Omega SuperSoft Putter Big Bead,2,3,-1,1,176,21.2,2.1,1.5,19.4,0.9,7.1,55.75,3.52
Millennium Golf Discs,Orion LF,9,5,-1,3,175.1,21.1,1.5,1.2,17.4,1.9,5.7,27.25,10.32
Millennium Golf Discs,Orion LS,9,5,-2,2,175.1,21.1,1.4,1.2,17.3,1.9,5.7,32.25,12.02
Millennium Golf Discs,Polaris LF,9,5,-2,2.5,175.1,21.1,1.9,1.1,17.9,1.6,5.2,28.5,10.55
Millennium Golf Discs,Polaris LS,8,5,-2,1,175.1,21.1,1.9,1.1,17.9,1.6,5.2,35,10.66
Millennium Golf Discs,QJLS,8,5,-2,2,176,21.2,1.8,1.1,18,1.6,5.2,30.75,9.19
Millennium Golf Discs,Quasar,13,5,-1,4,176,21.2,1.6,1.2,16.2,2.5,5.7,27.25,12.13
Millennium Golf Discs,Scorpius,13,4,-1,3,175.1,21.1,1.7,1.2,16.3,2.4,5.7,26.25,9.41
Millennium Golf Discs,Sentinel MF,5,4,0,4,180.1,21.7,2.1,1.2,19.1,1.3,5.5,27.5,6.24
Millennium Golf Discs,Tank - Panzer,2,2,0,2,176,21.2,2.1,1.4,18.8,1.2,6.6,59.75,5.56
Millennium Golf Discs,Taurus,4,4,0,4,180.1,21.7,2,1.5,19,1.4,6.9,66.75,9.07
Millennium Golf Discs,Veteran,7,4,0,1,175.1,21.1,1.8,1.2,17.5,1.8,5.7,29,8.73
Mint Discs,Alpha,8,4,0,2,175.1,21.1,2.1,1.2,17.1,2,5.7,30.5,8.39
MVP Disc Sports,Amp,8,5,-1.5,1,174.3,21,1.7,1.1,17.2,1.9,5.2,26,11
MVP Disc Sports,Anode,3,3,0,0.5,174.3,21,2.1,1.4,18.9,1.1,6.7,54,6.8
MVP Disc Sports,Atom,3,3,0,1,175.1,21.1,1.9,1.4,18.8,1.1,6.6,60.75,7.82
MVP Disc Sports,Axis,5,5,-1,1,180.9,21.8,2.1,1.3,19.2,1.3,6,43.75,7.37
MVP Disc Sports,Catalyst,13,6,-2,2,175.1,21.1,1.9,1.2,16.3,2.4,5.7,30,11.11
MVP Disc Sports,Deflector,5,4,0,4,178.5,21.5,2,1.3,18.3,1.6,6,40,10.77
MVP Disc Sports,Dimension,14,5,0,3,174.3,21,1.8,1.2,16,2.5,5.7,27.75,11.68
MVP Disc Sports,Energy,13,4,0,4,175.1,21.1,2.1,1.2,16.3,2.4,5.7,26,11.91
MVP Disc Sports,Impulse,9,5,-3,1,174.3,21,1.4,1.2,17,2,5.7,28.75,10.89
MVP Disc Sports,Inertia,9,5,-2,2,175.1,21.1,1.4,1.2,17.1,2,5.7,27.25,11.91
MVP Disc Sports,Ion,3,3,0,1.5,174.3,21,1.9,1.6,18.8,1.1,7.6,62.5,2.83
MVP Disc Sports,Limit,14,4,0,4,175.1,21.1,1.8,1.2,16,2.5,5.7,27.25,11.91
MVP Disc Sports,Matrix,5,4,-1,2,178.5,21.5,1.6,1.4,18.7,1.4,6.5,46.5,9.75
MVP Disc Sports,Motion,9,4,0,4,174.3,21,1.4,1.2,17,2,5.7,30.25,12.02
MVP Disc Sports,Nitro,13,4,-0.5,3,176,21.2,1.9,1.2,16.3,2.4,5.7,26.75,11.57
MVP Disc Sports,Octane,13,5,-1,2,175.1,21.1,1.7,1.2,16.3,2.4,5.7,27.25,11.87
MVP Disc Sports,Orbital,11,5,-4.5,1,175.1,21.1,1.4,1.1,16.7,2.2,5.2,28.5,10.77
MVP Disc Sports,Particle,3,3,0,2.5,175.1,21.1,2,1.4,18.8,1.1,6.6,61.25,8.28
MVP Disc Sports,Phase,11,4,0,4,175.1,21.1,1.4,1.1,16.7,2.2,5.2,29.5,11.25
MVP Disc Sports,Photon,11,5,-1,2.5,175.1,21.1,1.4,1.1,16.6,2.2,5.2,26.75,11.57
MVP Disc Sports,Relativity,14,6,-3,1.5,175.1,21.1,1.9,1.2,16,2.5,5.7,27.25,11.77
MVP Disc Sports,Relay,6,5,-2,1,175.1,21.1,1.5,1.2,17.7,1.7,5.7,35.75,8.16
MVP Disc Sports,Resistor,7,4,0,3.5,175.1,21.1,1.5,1.2,17.5,1.7,5.7,31.75,10.21
MVP Disc Sports,Servo,7,5,-1,2,175.1,21.1,1.4,1.2,17.5,1.8,5.7,32,11.45
MVP Disc Sports,Shock,8,5,0,2.5,175.1,21.1,1.6,1.1,17.2,1.9,5.2,29.75,12.13
MVP Disc Sports,Signal,6,5,-3,1,175.1,21.1,1.5,1.2,17.7,1.2,5.7,35.5,11.11
MVP Disc Sports,Spin,3,4,-2,0,174.3,21,1.9,1.5,18.8,1.1,7.1,60.75,7.37
MVP Disc Sports,Switch,7,5,-1.5,1,175.1,21.1,1.4,1.2,17.5,1.8,5.7,31,10.66
MVP Disc Sports,Tangent,4,4,-0.5,0.5,178.5,21.5,2.1,1.3,19.1,1.2,6,54.5,7.94
MVP Disc Sports,Teleport,14,5,-1.5,2.5,175.1,21.1,1.9,1.2,16,2.5,5.7,27.75,11.11
MVP Disc Sports,Tensor,4,4,0,2.5,178.5,21.5,2,1.3,19.1,1.2,6,46.75,7.82
MVP Disc Sports,Tesla,9,5,-1,2,174.3,21,1.4,1.2,17,2,5.7,26.5,11.68
MVP Disc Sports,Vector,5,4,0,2,180.1,21.7,2.1,1.3,19.1,1.3,6,36.5,4.99
MVP Disc Sports,Vertex,4,4,-2,0.5,178.5,21.5,1.9,1.3,19,1.2,6,46.75,7.48
MVP Disc Sports,Volt,8,5,-0.5,2,175.1,21.1,1.6,1.1,17.1,2,5.2,28.25,10.09
MVP Disc Sports,Wave,11,5,-2,2,175.1,21.1,1.4,1.1,16.6,2.2,5.2,29.25,11
Obsidian Discs Oy,Caldera,12,5,-1,2,176,21.2,1.7,1.2,16.7,2.3,5.7,26,8.62
Obsidian Discs Oy,Cinder,7,5,0,2,176,21.2,2.2,1.3,17.5,1.9,6.1,30.25,9.64
Obsidian Discs Oy,Rift,11,5,0,3,176,21.2,1.5,1.2,17,2.1,5.7,29,10.32
Obsidian Discs Oy,Shard,7,5,-1.5,1,176,21.2,1.5,1.2,17.4,1.9,5.7,28,9.19
Obsidian Discs Oy,Splinter,3,2,0,3.5,176.8,21.3,2.4,1.5,19.2,1,7,71.25,7.82
Ozone Discs,Andro 1,6,4,-1,2,178.5,21.5,1.8,1.3,18.5,1.5,6,26,12.02
Ozone Discs,Andro C,6,4,0,2,177.6,21.4,1.5,1.3,18.4,1.5,6.1,31.25,7.26
Ozone Discs,Andro C ,6,4,-2,1,179.3,21.6,1.5,1.3,18.6,1.5,6,31.25,3.4
Ozone Discs,Hyperion,11,4,0,4,174.3,21,1.6,1.1,16.7,2.2,5.2,26,9.19
Prodigy Disc,A1,3,3,0,3,174.3,21,2,1.3,18.2,1.4,6.2,41.75,8.62
Prodigy Disc,A2,4,4,0,3,174.3,21,2,1.3,18.2,1.4,6.2,41.75,8.5
Prodigy Disc,A3,4,4,0,3,174.3,21,2,1.3,18.2,1.4,6.2,50.25,8.39
Prodigy Disc,A4,4,4,-1,2,174.3,21,2,1.3,18.2,1.4,6.2,61.75,9.64
Prodigy Disc,D1,13,5,0,3,174.3,21,1.9,1.2,16.3,2.3,5.7,26.75,11.57
Prodigy Disc,D2,12,6,-1,3,174.3,21,1.9,1.2,16.3,2.3,5.7,30.5,11.34
Prodigy Disc,D3,13,6,-2,2,174.3,21,1.7,1.2,16.3,2.3,5.7,30.25,12.02
Prodigy Disc,D4,12,6,-3,2,174.3,21,1.9,1.2,16.3,2.3,5.7,30,12.13
Prodigy Disc,D5,12,6,-3.5,2,175.1,21.1,1.6,1.2,16.3,2.4,5.7,29.75,5.67
Prodigy Disc,D6,12,6,-4,1,174.3,21,1.6,1.2,16.2,2.4,5.7,26.75,9.41
Prodigy Disc,F1,7,4,0,3,176.8,21.3,1.5,1.1,17.7,1.8,5.2,27.25,6.8
Prodigy Disc,F2,7,5,-1,3,176.8,21.3,1.5,1.1,17.7,1.8,5.2,32.75,6.69
Prodigy Disc,F3,7,5,-1,2,176.8,21.3,1.5,1.1,17.7,1.8,5.2,31.5,7.37
Prodigy Disc,F5,7,5,-2,1,176.8,21.3,1.9,1.2,17.7,1.8,5.6,35.75,8.5
Prodigy Disc,F7,7,5,-3,1,176.8,21.3,1.5,1.1,17.8,1.8,5.2,37,7.48
Prodigy Disc,H1,10,3,0,4,176.8,21.3,1.8,1.2,17.4,1.9,5.6,31.75,8.28
Prodigy Disc,H1,11,4,0,3,177.6,21.4,1.6,1.2,17.4,2,5.6,28,9.19
Prodigy Disc,H2,9,5,0,2,176.8,21.3,1.7,1.2,17.5,1.9,5.6,30.75,8.05
Prodigy Disc,H2 V2,11,5,0,2.5,177.6,21.4,1.6,1.2,17.4,2,5.6,28,8.39
Prodigy Disc,H3,9,4,0,2,176.8,21.3,1.7,1.2,17.3,2,5.6,34.5,9.3
Prodigy Disc,H3 V2,11,5,-1,2,176.8,21.3,1.8,1.2,17.3,2,5.6,30.75,9.19
Prodigy Disc,H4,9,5,-2,1.5,176.8,21.3,1.8,1.2,17.4,1.9,5.6,41.75,8.73
Prodigy Disc,H5,9,5,-3,1,176.8,21.3,1.7,1.2,17.4,2,5.6,37.5,9.3
Prodigy Disc,M1,5,4,0,3,180.1,21.7,2,1.3,18.9,1.4,6,39.25,8.39
Prodigy Disc,M2,5,4,0,2,180.1,21.7,2,1.3,18.9,1.4,6,41,8.28
Prodigy Disc,M3,5,5,-1,2,180.1,21.7,1.9,1.3,18.9,1.4,6,43.25,8.39
Prodigy Disc,M4,5,5,-1,1,180.1,21.7,2,1.3,18.9,1.4,6,52,8.85
Prodigy Disc,M5,5,5,-3,1,180.1,21.7,2.2,1.3,19,1.3,6,46.5,8.85
Prodigy Disc,PA1,3,3,0,2,174.3,21,1.9,1.4,19,1,6.7,57.5,6.01
Prodigy Disc,PA2,3,3,0,1,175.1,21.1,1.9,1.4,19.1,1,6.6,47.5,11.91
Prodigy Disc,PA3,3,4,0,1,174.3,21,2,1.4,18.9,1,6.7,66,9.41
Prodigy Disc,PA4,3,3,-1,1,174.3,21,1.9,1.4,19,1,6.7,69.25,6.46
Prodigy Disc,X1,13,3,0,4,174.3,21,1.5,1.2,16.3,2.3,5.7,27.5,11.79
Prodigy Disc,X2,13,4,0,4,175.1,21.1,1.8,1.1,16.6,2.2,5.2,26,8.16
Prodigy Disc,X3,12,5,-1,2,175.1,21.1,1.7,1.1,16.6,2.2,5.2,30.5,8.73
Prodigy Disc,X4,13,5,-2.5,2,176,21.2,1.7,1.1,16.6,2.3,5.2,27,9.3
Prodigy Disc,X5,13,5,-4,1,175.1,21.1,1.9,1.1,16.6,2.2,5.2,28.25,7.94
Prodiscus,FASTi,13,4,-2,2.5,175.1,21.1,1.6,1.1,17.1,2.3,5.2,26.75,10.66
Prodiscus,FLIPPERi,9,3,-3,0,176,21.2,1.7,1.2,17.2,2,5.7,26,10.77
Prodiscus,Jokeri,4,3,0,2,176,21.2,1.8,1.5,19,1.1,7.1,54,6.92
Prodiscus,Laseri,7,3,-3,2,175.1,21.1,1.6,1.1,17.2,1.9,5.2,32.25,6.24
Prodiscus,Legenda,13,5,-1,2,174.3,21,1.5,1.1,16.3,2.4,5.2,26.75,5.44
Prodiscus,Midari,5,4,-1,2,179.3,21.6,1.8,1.5,18.8,1.4,6.9,37.5,4.88
Prodiscus,Razeri,12,5,0,3,175.1,21.1,1.5,1.1,16.4,2.3,5.2,27.25,9.41
Prodiscus,Respecti,8,4,0,2,174.3,21,1.8,1.3,17.2,1.9,6.2,33.25,7.03
Prodiscus,Rocket,9,4,0,3,176,21.2,1.7,1.3,17.3,1.9,6.1,30,8.62
Prodiscus,Slaidi,12,5,0,3,175.1,21.1,2,1.2,16.8,2.2,5.7,30.5,7.71
Prodiscus,Sparta,3,3,0,0.5,176.8,21.3,2,1.6,19.2,1,7.5,59.75,5.78
Prodiscus,STARi,5,4,-2,1,179.3,21.6,1.9,1.4,18.9,1.3,6.5,45,7.03
Prodiscus,Titan,10,4,0,3,176,21.2,1.6,1.2,17.3,1.9,5.7,32.75,9.53
Reptilian Disc Golf,Gila,5,4,0,3,174.3,21,1.6,1.2,19.2,1.4,5.7,36.5,11.23
Reptilian Disc Golf,Scale,2,1,0,3,174.3,21,2.2,1.5,19,1,7.1,68,10.43
Reptilian Disc Golf,Serpent,2,2,0,0,174.3,21,2.2,1.5,19.1,1,7.1,86.75,4.88
Reptilian Disc Golf,Stego,3,1,1,4,176.8,21.3,1.8,1.2,19.3,1,5.6,74,9.19
Reptilian Disc Golf,Tyrant,7,3,0,4,176,21.2,1.4,1.1,17.6,1.8,5.2,28,8.62
Rip Disc Golf,Ballistic,13,4,-2,3,175.1,21.1,2,1.2,16.4,2.4,5.7,33.25,11.45
Rip Disc Golf,Graboide,2,1,0,3,176,21.2,2.5,1.7,18.6,1.3,8,73,7.94
Rip Disc Golf,Relic,2,2,-2,2,176,21.2,2.4,1.7,18.6,1.3,8,76.5,8.51
RPM Discs,Arcturus,4,5,-0.5,0.5,180.9,21.8,2,1.2,19.2,1.3,5.5,38.25,3.86
RPM Discs,Kahu,13,5,-1.5,3,174.3,21,1.5,1.1,16.2,2.4,5.2,31.5,10.87
RPM Discs,Kea,5,5,0,3,176,21.2,1.9,1.4,18,1.4,6.6,62.75,11.11
RPM Discs,Kiwi,10,5,-1.5,2,175.1,21.1,1.4,1.2,17.1,2,5.7,26.25,8.05
RPM Discs,Ruru,3,3,0,1,174.3,21,2.3,1.6,18.9,1,7.6,72.75,8.28
RPM Discs,Tui,3,4,-1,0,175.1,21.1,1.8,1.4,19.3,0.9,6.6,44.25,4.76
Salient Discs,Antidote,5,5,0,1,178.5,21.5,2,1.3,18.9,1.3,6,43.25,6.69
Salient Discs,Backdraft,12,5,-1,2,176.8,21.3,2,1.3,16.4,2.4,6.1,30.5,8.05
Salient Discs,Touch,2,3,0,1,176,21.2,2,1.4,17.8,1.2,6.6,54.75,5.1
Salient Discs,Vein,8,4,0,2,176.8,21.3,1.9,1.3,17.4,1.8,6.1,27.75,7.94
Skyiron,Flagship,11,4,-3,2,178.5,21.5,1.3,1.1,17.2,2.2,5.1,26.25,9.98
Skyquest Discs,Chainzilla,2,3,-1,1,176,21.2,2.2,1.7,19.2,1,8,56,4.42
Skyquest Discs,L13,10,5,-3,2,176,21.2,1.5,1.1,17,2.1,5.2,26.75,6.46
Skyquest Discs,L13 ,10,5,-3,2,175.1,21.1,1.5,1.1,16.9,2.1,5.2,26.75,6.35
Skyquest Discs,Medusa,11,3,-2,2,176,21.2,1.5,1.1,17,2.1,5.2,29.25,5.33
Snap Discsports,Helios,10,5,-2,1,180.1,21.7,1.6,1.2,17,2.3,5.5,28.5,11.79
Storm Disc Golf,Jet Stream,12,5,-1,3,174.3,21,1.7,1.2,16.5,2.3,5.7,26.5,8.28
Storm Disc Golf,The Crater,3,2,0,3,175.1,21.1,1.8,1.3,19,1.1,6.2,79.25,7.71
Streamline Discs,Drift,7,5,-2,1,176,21.2,1.8,1.2,17.7,1.8,5.7,33,9.3
Streamline Discs,Pilot,2,5,-1,1,176,21.2,1.9,1.5,18.2,1,7.1,64,11.11
Streamline Discs,Runway,5,4,0,3.5,178.5,21.5,1.7,1.4,18.6,1.4,6.5,47.25,9.87
Streamline Discs,Trace,11,5,-1,2,176,21.2,1.7,1.2,16.8,2.2,5.7,31.25,9.98
TOBU Discs,Charge,9,4,-1,2,175.1,21.1,1.5,1.1,17.6,1.7,5.2,27,8.39
TOBU Discs,Power Roller,8,4,-3,1,175.1,21.1,1.4,1.1,17.5,1.8,5.2,29.5,7.94
UB Disc Golf - Hand Candy,Lex,2,3,0,1,177.6,21.4,2.1,1.6,19.6,0.9,7.5,77,4.54
UB Disc Golf - Hand Candy,Monstrum,11,5,0,3,175.1,21.1,1.5,1.3,16.4,2.4,6.2,31.25,7.26
UB Disc Golf - Hand Candy,Procul,12,4,-3,2,175.1,21.1,1.6,1.3,16.4,2.3,6.2,27,8.28
Vibram Disc Golf,Arch,8,5,0,2,174.3,21,1.9,1.1,17.4,1.8,5.2,34,6.35
Vibram Disc Golf,Ascent,8,4,0,3,175.1,21.1,1.6,1.2,17.3,1.9,5.7,30,4.42
Vibram Disc Golf,Crag,4,4,0,3.5,177.6,21.4,2,1.4,18.6,1.4,6.5,31.75,4.65
Vibram Disc Golf,Four20,13,4,0,4,174.3,21,1.7,1.1,16.2,2.4,5.2,26,6.69
Vibram Disc Golf,Ibex,5,4,-1,1,178.5,21.5,2.4,1.3,18.9,1.3,6,46.25,7.14
Vibram Disc Golf,Lace,14,6,-1.5,1,174.3,21,1.8,1.1,16.2,2.4,5.2,28.5,8.05
Vibram Disc Golf,Launch,5,5,-1,2,177.6,21.4,2.1,1.3,18.8,1.3,6.1,51.25,4.76
Vibram Disc Golf,Notch,7,3,0,4,174.3,21,2,1.2,17.2,1.9,5.7,36.75,7.14
Vibram Disc Golf,O-Lace,13,5,-1,3,174.3,21,1.7,1.1,16.3,2.3,5.2,26,6.58
Vibram Disc Golf,Obex,5,4,-0.5,2.5,178.5,21.5,2.1,1.2,18.9,1.3,5.6,41,4.54
Vibram Disc Golf,Onyx,8,6,-3,1,174.3,21,1.8,1.1,17.3,1.8,5.2,30.75,5.33
Vibram Disc Golf,Ridge,2,3,0,1,175.1,21.1,2,1.6,19.3,0.9,7.6,61.25,8.05
Vibram Disc Golf,Solace,13,4,0,4,175.1,21.1,1.7,1.1,16.2,2.4,5.2,27,9.3
Vibram Disc Golf,Sole,2,3,0,2,176,21.2,2.3,1.5,19.2,1,7.1,58.75,5.1
Vibram Disc Golf,Summit,2,3,-1,0,175.1,21.1,1.9,1.2,19.2,0.9,5.7,61.25,0.56
Vibram Disc Golf,Trak,7,4,-1,2,174.3,21,1.7,1.2,17.2,1.9,5.7,33.25,6.12
Vibram Disc Golf,unLace,14,6,-5,1,175.1,21.1,1.9,1.1,16.3,2.4,5.2,28.75,6.21
Vibram Disc Golf,V.P.,2,3,0,2,175.1,21.1,2,1.6,19.1,0.9,7.6,66.75,4.76
Vibram Disc Golf,Valley,7,5,-1,1,174.3,21,1.9,1.1,17.4,1.8,5.2,31.25,5.22
Vibram Disc Golf,Vamp,7,5,-2,1,174.3,21,1.9,1.2,17.2,1.9,5.7,34.75,6.35
Viking Discs,Axe,4,3,0,1,176,21.2,2,1.3,19.2,1,6.1,57,8.16
Viking Discs,Barbarian,7,5,0,2,176.8,21.3,1.8,1.2,17.6,1.9,5.6,35.75,11.68
Viking Discs,Berserker,10,5,-3.5,1.5,176,21.2,1.7,1.2,17,2.1,5.7,28.75,9.53
Viking Discs,Cosmos,7,5,-0.5,1,174.3,21,1.6,1.1,17.4,1.8,5.2,28.5,9.41
Viking Discs,Knife,3,3,0,2,175.1,21.1,1.9,1.8,19.1,1,8.5,58.75,10.32
Viking Discs,Loki,4,2,0,2,177.6,21.4,1.9,1.3,18.5,1.5,6.1,44.5,8.62
Viking Discs,Nordic Warrior,4,4,0,2,178.5,21.5,2,1.4,18.7,1.4,6.5,36,12.25
Viking Discs,Ragnarok,11,5,-1,2,176,21.2,2.1,1.1,16.9,2.1,5.2,27.75,9.53
Viking Discs,Rune,2,4,0,0,176,21.2,2.1,1.6,19,1.1,7.5,55.5,9.07
Viking Discs,Thunder God Thor,14,5,0,2,174.3,21,1.7,1.2,16,2.5,5.7,28,12.02
Viking Discs,Valhalla,12,5,0,2,176.8,21.3,2,1.2,16.8,2.2,5.6,28,8.96
Westside Golf Discs,Ahti,9,3,0,4,176,21.2,1.7,1.1,17.2,2,5.2,28.75,9.98
Westside Golf Discs,Anvil,4,2,0,4,176.8,21.3,1.8,1.2,18.3,1.5,5.6,41.75,11.57
Westside Golf Discs,Bard,5,4,0,3,180.1,21.7,1.9,1.3,18.8,1.5,6,42.5,7.14
